league,season,team,player,standard_nation,standard_pos,standard_age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG
ITA-Serie A,2425,Monza,Gianluca Caprari,ITA,"MF,FW",31,1993,34,18,1651,18.3,3,2,5,1,2,2,3,0,0.16,0.11,0.27,0.05,0.16,ITA,"MF,FW",31,1993,18.3,3,29,11,37.9,1.58,0.6,0.03,0.09,2,2,ITA,"MF,FW",31,1993,18.3,3,0,0,18,42,5,80,8,11,,,0
ITA-Serie A,2425,Monza,Keita Baldé,SEN,FW,29,1995,11,8,638,7.1,2,0,2,2,0,0,2,0,0.28,0.0,0.28,0.28,0.28,SEN,FW,29,1995,7.1,2,14,5,35.7,1.97,0.71,0.14,0.4,0,0,SEN,FW,29,1995,7.1,2,0,0,7,23,3,6,2,1,,,0
ITA-Serie A,2425,Monza,Mattia Valoti,ITA,"FW,MF",30,1993,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",30,1993,0.4,0,0,0,,0.0,0.0,,,0,0,ITA,"FW,MF",30,1993,0.4,1,0,0,2,2,0,0,0,3,,,0
ITA-Serie A,2425,Monza,Milan Đurić,BIH,FW,34,1990,18,13,1270,14.1,4,1,5,4,0,0,3,0,0.28,0.07,0.35,0.28,0.35,BIH,FW,34,1990,14.1,4,23,10,43.5,1.63,0.71,0.17,0.4,0,0,BIH,FW,34,1990,14.1,3,0,0,17,18,5,0,3,1,,,0
ITA-Serie A,2425,Monza,Mirko Marić,CRO,FW,29,1995,8,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,CRO,FW,29,1995,1.2,0,1,0,0.0,0.85,0.0,0.0,,0,0,CRO,FW,29,1995,1.2,0,0,0,2,2,0,2,1,0,,,0
ITA-Serie A,2425,Monza,Omari Forson,ENG,FW,20,2004,9,1,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,FW,20,2004,2.5,0,5,1,20.0,2.02,0.4,0.0,0.0,0,0,ENG,FW,20,2004,2.5,0,0,0,2,2,1,9,1,3,,,0
ITA-Serie A,2425,Monza,Silvère Ganvoula M'Boussy,CGO,FW,28,1996,7,4,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,CGO,FW,28,1996,3.6,0,4,1,25.0,1.1,0.28,0.0,0.0,0,0,CGO,FW,28,1996,3.6,0,0,0,4,8,1,0,1,0,,,0
ITA-Serie A,2425,Napoli,Alessio Zerbin,ITA,"FW,MF",25,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",25,1999,0.0,0,0,0,,0.0,0.0,,,0,0,ITA,"FW,MF",25,1999,0.0,0,0,0,0,0,0,0,0,1,,,0
ITA-Serie A,2425,Napoli,Cyril Ngonge,BEL,FW,24,2000,18,1,216,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,BEL,FW,24,2000,2.4,0,13,6,46.2,5.42,2.5,0.0,0.0,0,0,BEL,FW,24,2000,2.4,2,0,0,8,14,1,11,2,5,,,0
ITA-Serie A,2425,Napoli,David Neres,BRA,FW,27,1997,28,13,1283,14.3,2,4,6,2,0,0,1,0,0.14,0.28,0.42,0.14,0.42,BRA,FW,27,1997,14.3,2,29,7,24.1,2.03,0.49,0.07,0.29,0,0,BRA,FW,27,1997,14.3,1,0,0,14,10,4,92,7,11,,,0
ITA-Serie A,2425,Napoli,Giacomo Raspadori,ITA,"FW,MF",24,2000,26,11,1103,12.3,6,1,7,6,0,0,1,0,0.49,0.08,0.57,0.49,0.57,ITA,"FW,MF",24,2000,12.3,6,42,14,33.3,3.43,1.14,0.14,0.43,0,0,ITA,"FW,MF",24,2000,12.3,1,0,0,12,20,1,67,3,9,,,0
ITA-Serie A,2425,Napoli,Giovanni Simeone,ARG,FW,29,1995,30,1,419,4.7,1,1,2,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,ARG,FW,29,1995,4.7,1,13,3,23.1,2.79,0.64,0.08,0.33,0,0,ARG,FW,29,1995,4.7,1,0,0,7,16,2,3,1,0,,,0
ITA-Serie A,2425,Napoli,Khvicha Kvaratskhelia,GEO,"FW,MF",23,2001,17,15,1178,13.1,5,3,8,4,1,1,1,0,0.38,0.23,0.61,0.31,0.53,GEO,"FW,MF",23,2001,13.1,5,49,17,34.7,3.74,1.3,0.08,0.24,1,1,GEO,"FW,MF",23,2001,13.1,1,0,0,12,33,0,50,4,9,,,0
ITA-Serie A,2425,Napoli,Matteo Politano,ITA,"FW,MF",30,1993,37,34,2804,31.2,3,4,7,3,0,0,3,0,0.1,0.13,0.22,0.1,0.22,ITA,"FW,MF",30,1993,31.2,3,56,14,25.0,1.8,0.45,0.05,0.21,0,0,ITA,"FW,MF",30,1993,31.2,3,0,0,14,31,6,229,13,16,,,0
ITA-Serie A,2425,Napoli,Michael Folorunsho,ITA,"FW,MF",26,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",26,1998,0.4,0,1,0,0.0,2.57,0.0,0.0,,0,0,ITA,"FW,MF",26,1998,0.4,0,0,0,2,1,0,0,0,2,,,0
ITA-Serie A,2425,Napoli,Noah Okafor,SUI,"FW,MF",24,2000,4,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,SUI,"FW,MF",24,2000,0.4,0,1,0,0.0,2.25,0.0,0.0,,0,0,SUI,"FW,MF",24,2000,0.4,0,0,0,2,1,0,3,0,2,,,0
ITA-Serie A,2425,Napoli,Romelu Lukaku,BEL,FW,31,1993,36,35,2843,31.6,14,10,24,11,3,4,4,0,0.44,0.32,0.76,0.35,0.66,BEL,FW,31,1993,31.6,14,64,24,37.5,2.03,0.76,0.17,0.46,3,4,BEL,FW,31,1993,31.6,4,0,0,47,36,24,4,1,2,,,0
ITA-Serie A,2425,Napoli,Walid Cheddira,MAR,FW,26,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MAR,FW,26,1998,0.1,0,0,0,,0.0,0.0,,,0,0,MAR,FW,26,1998,0.1,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Parma,Ange-Yoan Bonny,CIV,FW,20,2003,37,30,2529,28.1,6,4,10,4,2,2,2,0,0.21,0.14,0.36,0.14,0.28,CIV,FW,20,2003,28.1,6,64,22,34.4,2.28,0.78,0.06,0.18,2,2,CIV,FW,20,2003,28.1,2,0,0,20,47,14,14,3,18,,,0
ITA-Serie A,2425,Parma,Dennis Man,ROU,"MF,FW",25,1998,33,23,1995,22.2,4,4,8,4,0,0,0,0,0.18,0.18,0.36,0.18,0.36,ROU,"MF,FW",25,1998,22.2,4,49,20,40.8,2.21,0.9,0.08,0.2,0,0,ROU,"MF,FW",25,1998,22.2,0,0,0,8,17,4,33,8,6,,,0
ITA-Serie A,2425,Parma,Drissa Camara,CIV,FW,22,2002,21,1,447,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,CIV,FW,22,2002,5.0,0,15,5,33.3,3.02,1.01,0.0,0.0,0,0,CIV,FW,22,2002,5.0,3,0,0,17,17,1,5,4,7,,,0
ITA-Serie A,2425,Parma,Gabriel Charpentier,CGO,FW,25,1999,10,0,271,3.0,1,2,3,1,0,0,1,0,0.33,0.66,1.0,0.33,1.0,CGO,FW,25,1999,3.0,1,9,4,44.4,2.99,1.33,0.11,0.25,0,0,CGO,FW,25,1999,3.0,1,0,0,13,10,0,2,0,3,,,0
ITA-Serie A,2425,Parma,Mateo Pellegrino,ARG,FW,23,2001,13,8,737,8.2,3,1,4,3,0,0,2,0,0.37,0.12,0.49,0.37,0.49,ARG,FW,23,2001,8.2,3,22,9,40.9,2.69,1.1,0.14,0.33,0,0,ARG,FW,23,2001,8.2,2,0,0,27,16,0,4,1,2,,,0
ITA-Serie A,2425,Parma,Matteo Cancellieri,ITA,"MF,FW",22,2002,27,19,1424,15.8,3,0,3,3,0,0,2,1,0.19,0.0,0.19,0.19,0.19,ITA,"MF,FW",22,2002,15.8,3,22,7,31.8,1.39,0.44,0.14,0.43,0,0,ITA,"MF,FW",22,2002,15.8,2,1,0,26,41,2,22,13,14,,,0
ITA-Serie A,2425,Parma,Milan Đurić,BIH,FW,34,1990,9,3,268,3.0,1,0,1,1,0,0,1,0,0.34,0.0,0.34,0.34,0.34,BIH,FW,34,1990,3.0,1,5,1,20.0,1.68,0.34,0.2,1.0,0,0,BIH,FW,34,1990,3.0,1,0,0,2,6,1,0,0,0,,,0
ITA-Serie A,2425,Parma,Pontus Almqvist,SWE,"FW,MF",25,1999,29,10,1112,12.4,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,SWE,"FW,MF",25,1999,12.4,1,26,10,38.5,2.1,0.81,0.04,0.1,0,0,SWE,"FW,MF",25,1999,12.4,5,0,0,15,15,2,11,20,14,,,0
ITA-Serie A,2425,Parma,Valentin Mihaila,ROU,"MF,FW",24,2000,21,16,1288,14.3,0,3,3,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,ROU,"MF,FW",24,2000,14.3,0,31,11,35.5,2.17,0.77,0.0,0.0,0,0,ROU,"MF,FW",24,2000,14.3,2,0,0,17,20,1,33,7,15,,,0
ITA-Serie A,2425,Roma,Alexis Saelemaekers,BEL,"MF,FW",25,1999,22,17,1389,15.4,7,3,10,7,0,0,4,0,0.45,0.19,0.65,0.45,0.65,BEL,"MF,FW",25,1999,15.4,7,25,12,48.0,1.62,0.78,0.28,0.58,0,0,BEL,"MF,FW",25,1999,15.4,4,0,0,13,30,0,52,9,20,,,0
ITA-Serie A,2425,Roma,Artem Dovbyk,UKR,FW,27,1997,32,27,2418,26.9,12,2,14,10,2,2,0,0,0.45,0.07,0.52,0.37,0.45,UKR,FW,27,1997,26.9,12,63,27,42.9,2.34,1.0,0.16,0.37,2,2,UKR,FW,27,1997,26.9,0,0,0,30,16,22,1,2,1,,,0
ITA-Serie A,2425,Roma,Eldor Shomurodov,UZB,FW,29,1995,27,11,1097,12.2,4,4,8,4,0,0,1,0,0.33,0.33,0.66,0.33,0.66,UZB,FW,29,1995,12.2,4,29,14,48.3,2.38,1.15,0.14,0.29,0,0,UZB,FW,29,1995,12.2,1,0,0,14,7,3,6,3,6,,,0
ITA-Serie A,2425,Roma,Paulo Dybala,ARG,"FW,MF",30,1993,24,16,1417,15.7,6,3,9,3,3,3,2,0,0.38,0.19,0.57,0.19,0.38,ARG,"FW,MF",30,1993,15.7,6,50,19,38.0,3.18,1.21,0.06,0.16,3,3,ARG,"FW,MF",30,1993,15.7,2,0,0,6,60,6,62,2,7,,,0
ITA-Serie A,2425,Roma,Stephan El Shaarawy,ITA,"MF,FW",31,1992,31,12,1098,12.2,3,4,7,3,0,0,2,0,0.25,0.33,0.57,0.25,0.57,ITA,"MF,FW",31,1992,12.2,3,28,12,42.9,2.3,0.98,0.11,0.25,0,0,ITA,"MF,FW",31,1992,12.2,2,0,0,7,14,5,27,10,12,,,0
ITA-Serie A,2425,Roma,Tammy Abraham,ENG,FW,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ENG,FW,26,1997,0.0,0,0,0,,0.0,0.0,,,0,0,ENG,FW,26,1997,0.0,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Roma,Tommaso Baldanzi,ITA,"MF,FW",21,2003,31,5,832,9.2,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,ITA,"MF,FW",21,2003,9.2,1,20,4,20.0,2.16,0.43,0.05,0.25,0,0,ITA,"MF,FW",21,2003,9.2,2,0,0,7,16,0,6,6,6,,,0
ITA-Serie A,2425,Torino,Alieu Njie,SWE,FW,19,2005,16,0,394,4.4,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,SWE,FW,19,2005,4.4,1,9,5,55.6,2.06,1.14,0.11,0.2,0,0,SWE,FW,19,2005,4.4,1,0,0,12,12,2,6,0,1,,,0
ITA-Serie A,2425,Torino,Antonio Sanabria,PAR,FW,28,1996,26,16,1318,14.6,2,1,3,2,0,1,2,0,0.14,0.07,0.2,0.14,0.2,PAR,FW,28,1996,14.6,2,19,4,21.1,1.3,0.27,0.11,0.5,0,1,PAR,FW,28,1996,14.6,2,0,0,16,14,1,0,1,3,,,0
ITA-Serie A,2425,Torino,Ché Adams,SCO,FW,28,1996,36,30,2652,29.5,9,3,12,9,0,1,2,0,0.31,0.1,0.41,0.31,0.41,SCO,FW,28,1996,29.5,9,64,26,40.6,2.17,0.88,0.14,0.35,0,1,SCO,FW,28,1996,29.5,2,0,0,29,40,23,10,1,6,,,0
ITA-Serie A,2425,Torino,Duván Zapata,COL,FW,33,1991,7,7,587,6.5,3,0,3,3,0,0,1,0,0.46,0.0,0.46,0.46,0.46,COL,FW,33,1991,6.5,3,21,10,47.6,3.22,1.53,0.14,0.3,0,0,COL,FW,33,1991,6.5,1,0,0,10,8,2,3,2,5,,,0
ITA-Serie A,2425,Torino,Elif Elmas,MKD,"MF,FW",24,1999,13,12,1021,11.3,4,0,4,4,0,0,0,0,0.35,0.0,0.35,0.35,0.35,MKD,"MF,FW",24,1999,11.3,4,19,10,52.6,1.67,0.88,0.21,0.4,0,0,MKD,"MF,FW",24,1999,11.3,0,0,0,13,14,2,23,4,8,,,0
ITA-Serie A,2425,Torino,Nikola Vlašić,CRO,"MF,FW",26,1997,30,23,2117,23.5,5,4,9,3,2,2,0,0,0.21,0.17,0.38,0.13,0.3,CRO,"MF,FW",26,1997,23.5,5,32,12,37.5,1.36,0.51,0.09,0.25,2,2,CRO,"MF,FW",26,1997,23.5,0,0,0,28,26,6,25,8,17,,,0
ITA-Serie A,2425,Torino,Tommaso Gabellini,ITA,FW,17,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,17,2006,0.1,0,1,0,0.0,9.0,0.0,0.0,,0,0,ITA,FW,17,2006,0.1,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Torino,Yann Karamoh,FRA,"MF,FW",26,1998,29,10,1046,11.6,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,FRA,"MF,FW",26,1998,11.6,0,25,6,24.0,2.15,0.52,0.0,0.0,0,0,FRA,"MF,FW",26,1998,11.6,2,0,0,12,14,4,24,3,2,,,0
ITA-Serie A,2425,Udinese,Alexis Sánchez,CHI,FW,35,1988,13,6,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,CHI,FW,35,1988,4.9,0,7,0,0.0,1.44,0.0,0.0,,0,0,CHI,FW,35,1988,4.9,0,0,0,4,11,4,9,4,1,,,0
ITA-Serie A,2425,Udinese,Arthur Atta,FRA,"MF,FW",21,2003,27,12,1251,13.9,0,1,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,FRA,"MF,FW",21,2003,13.9,0,26,7,26.9,1.87,0.5,0.0,0.0,0,0,FRA,"MF,FW",21,2003,13.9,5,0,0,15,14,1,24,7,10,,,0
ITA-Serie A,2425,Udinese,Brenner,BRA,"MF,FW",24,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.23,0.47,0.7,0.23,0.7,BRA,"MF,FW",24,2000,4.3,1,7,4,57.1,1.63,0.93,0.14,0.25,0,0,BRA,"MF,FW",24,2000,4.3,0,0,0,0,5,0,11,1,4,,,0
ITA-Serie A,2425,Udinese,Damián Pizarro,CHI,FW,19,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,CHI,FW,19,2005,0.2,0,0,0,,0.0,0.0,,,0,0,CHI,FW,19,2005,0.2,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Udinese,Florian Thauvin,FRA,"FW,MF",31,1993,25,24,1956,21.7,8,3,11,7,1,3,0,0,0.37,0.14,0.51,0.32,0.46,FRA,"FW,MF",31,1993,21.7,8,54,27,50.0,2.48,1.24,0.13,0.26,1,3,FRA,"FW,MF",31,1993,21.7,0,0,0,10,27,3,165,7,14,,,0
ITA-Serie A,2425,Udinese,Iker Bravo,ESP,FW,19,2005,29,4,682,7.6,2,1,3,2,0,0,3,0,0.26,0.13,0.4,0.26,0.4,ESP,FW,19,2005,7.6,2,13,4,30.8,1.72,0.53,0.15,0.5,0,0,ESP,FW,19,2005,7.6,3,0,0,12,10,2,8,1,5,,,0
ITA-Serie A,2425,Udinese,Keinan Davis,ENG,FW,26,1998,23,10,1066,11.8,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25,ENG,FW,26,1998,11.8,2,29,11,37.9,2.45,0.93,0.07,0.18,0,0,ENG,FW,26,1998,11.8,2,0,0,24,12,8,3,1,5,,,0
ITA-Serie A,2425,Udinese,Lorenzo Lucca,ITA,FW,23,2000,33,27,2353,26.1,12,1,13,11,1,1,10,0,0.46,0.04,0.5,0.42,0.46,ITA,FW,23,2000,26.1,12,66,26,39.4,2.52,0.99,0.17,0.42,1,1,ITA,FW,23,2000,26.1,10,0,0,65,55,16,5,6,6,,,0
ITA-Serie A,2425,Udinese,Simone Pafundi,ITA,FW,18,2006,9,0,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,18,2006,1.3,0,2,1,50.0,1.55,0.78,0.0,0.0,0,0,ITA,FW,18,2006,1.3,0,0,0,1,6,0,13,0,3,,,0
ITA-Serie A,2425,Venezia,Antonio Raimondo,ITA,FW,20,2004,9,0,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,20,2004,1.0,0,1,1,100.0,0.96,0.96,0.0,0.0,0,0,ITA,FW,20,2004,1.0,0,0,0,2,1,1,1,0,1,,,0
ITA-Serie A,2425,Venezia,Christian Gytkjær,DEN,FW,34,1990,29,6,754,8.4,2,1,3,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24,DEN,FW,34,1990,8.4,2,18,6,33.3,2.15,0.72,0.06,0.17,1,1,DEN,FW,34,1990,8.4,0,0,0,11,5,7,0,1,4,,,0
ITA-Serie A,2425,Venezia,Daniel Fila,CZE,FW,21,2002,10,6,492,5.5,2,0,2,2,0,0,3,1,0.37,0.0,0.37,0.37,0.37,CZE,FW,21,2002,5.5,2,8,6,75.0,1.46,1.1,0.25,0.33,0,0,CZE,FW,21,2002,5.5,3,1,1,13,7,3,0,0,1,,,0
ITA-Serie A,2425,Venezia,Gaetano Oristanio,ITA,"FW,MF",21,2002,37,29,2315,25.7,3,3,6,3,0,0,3,0,0.12,0.12,0.23,0.12,0.23,ITA,"FW,MF",21,2002,25.7,3,44,12,27.3,1.71,0.47,0.07,0.25,0,0,ITA,"FW,MF",21,2002,25.7,3,0,0,50,71,11,56,7,14,,,0
ITA-Serie A,2425,Venezia,Joel Pohjanpalo,FIN,FW,29,1994,20,19,1603,17.8,6,0,6,3,3,4,1,0,0.34,0.0,0.34,0.17,0.17,FIN,FW,29,1994,17.8,6,38,17,44.7,2.13,0.95,0.08,0.18,3,4,FIN,FW,29,1994,17.8,1,0,0,12,15,10,3,4,3,,,0
ITA-Serie A,2425,Venezia,John Yeboah,ECU,"FW,MF",24,2000,33,11,1226,13.6,1,1,2,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,ECU,"FW,MF",24,2000,13.6,1,30,10,33.3,2.2,0.73,0.03,0.1,0,0,ECU,"FW,MF",24,2000,13.6,6,0,0,14,21,4,26,4,3,,,0
ITA-Serie A,2425,Venezia,Mirko Marić,CRO,FW,29,1995,10,4,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,CRO,FW,29,1995,4.0,0,6,1,16.7,1.52,0.25,0.0,0.0,0,0,CRO,FW,29,1995,4.0,0,0,0,3,4,3,3,1,3,,,0
ITA-Serie A,2425,Venezia,Nicholas Pierini,ITA,"FW,MF",25,1998,2,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",25,1998,0.9,0,1,0,0.0,1.08,0.0,0.0,,0,0,ITA,"FW,MF",25,1998,0.9,0,0,0,1,2,0,3,0,0,,,0
,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,0.38,0.09,0.47,0.38,0.47,FRA,"MF,FW",26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,0,0,FRA,"MF,FW",26,1998,23.4,4,0,0,26,42,3,21,15,26,,,0
,2425,Augsburg,Arne Engels,BEL,FW,20,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,BEL,FW,20,2003,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,0,0,BEL,FW,20,2003,0.9,1,0,0,3,1,0,4,0,0,,,0
,2425,Augsburg,Fredrik Jensen,FIN,"MF,FW",26,1997,20,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FIN,"MF,FW",26,1997,8.5,0,11,0,0.0,1.3,0.0,0.0,,0,0,FIN,"MF,FW",26,1997,8.5,0,0,0,5,5,3,21,5,7,,,0
,2425,Augsburg,Mergim Berisha,GER,FW,26,1998,2,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GER,FW,26,1998,0.4,0,3,1,33.3,6.75,2.25,0.0,0.0,0,0,GER,FW,26,1998,0.4,1,0,0,2,0,0,1,0,0,,,0
,2425,Augsburg,Phillip Tietz,GER,FW,27,1997,34,19,1686,18.7,7,2,9,6,1,1,4,0,0.37,0.11,0.48,0.32,0.43,GER,FW,27,1997,18.7,7,51,20,39.2,2.72,1.07,0.12,0.3,1,1,GER,FW,27,1997,18.7,4,0,0,36,12,15,2,5,6,,,0
,2425,Augsburg,Samuel Essende,COD,FW,26,1998,30,21,1636,18.2,7,2,9,7,0,0,4,2,0.39,0.11,0.5,0.39,0.5,COD,FW,26,1998,18.2,7,44,13,29.5,2.42,0.72,0.16,0.54,0,0,COD,FW,26,1998,18.2,4,2,0,45,34,13,5,1,6,,,0
,2425,Augsburg,Yusuf Kabadayı,GER,FW,20,2004,5,0,71,0.8,1,0,1,1,0,0,0,0,1.27,0.0,1.27,1.27,1.27,GER,FW,20,2004,0.8,1,4,1,25.0,5.07,1.27,0.25,1.0,0,0,GER,FW,20,2004,0.8,0,0,0,1,1,1,1,0,0,,,0
,2425,Bayern Munich,Harry Kane,ENG,FW,31,1993,31,28,2381,26.5,26,9,35,17,9,9,5,0,0.98,0.34,1.32,0.64,0.98,ENG,FW,31,1993,26.5,26,114,54,47.4,4.31,2.04,0.15,0.31,9,9,ENG,FW,31,1993,26.5,5,0,0,9,21,16,14,4,10,,,0
,2425,Bayern Munich,Jonah Kusi-Asare,SWE,FW,17,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,SWE,FW,17,2007,0.0,0,1,0,0.0,30.0,0.0,0.0,,0,0,SWE,FW,17,2007,0.0,0,0,0,0,0,0,0,0,0,,,0
,2425,Bayern Munich,Serge Gnabry,GER,"MF,FW",29,1995,27,13,1242,13.8,7,5,12,7,0,1,0,0,0.51,0.36,0.87,0.51,0.87,GER,"MF,FW",29,1995,13.8,7,49,18,36.7,3.55,1.3,0.14,0.39,0,1,GER,"MF,FW",29,1995,13.8,0,0,0,19,6,8,22,6,10,,,0
,2425,Bayern Munich,Thomas Müller,GER,"MF,FW",34,1989,30,12,1225,13.6,1,4,5,1,0,0,3,0,0.07,0.29,0.37,0.07,0.37,GER,"MF,FW",34,1989,13.6,1,30,11,36.7,2.2,0.81,0.03,0.09,0,0,GER,"MF,FW",34,1989,13.6,3,0,0,14,12,3,46,2,6,,,0
,2425,Bochum,Aliou Badara Baldé,GUI,FW,21,2002,5,0,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,GUI,FW,21,2002,1.0,0,4,1,25.0,3.96,0.99,0.0,0.0,0,0,GUI,FW,21,2002,1.0,1,0,0,1,0,2,4,0,1,,,0
,2425,Bochum,Dani de Wit,NED,"MF,FW",26,1998,28,11,1153,12.8,2,1,3,2,0,0,1,0,0.16,0.08,0.23,0.16,0.23,NED,"MF,FW",26,1998,12.8,2,20,7,35.0,1.56,0.55,0.1,0.29,0,0,NED,"MF,FW",26,1998,12.8,1,0,0,24,12,8,8,12,18,,,0
,2425,Bochum,Giorgos Masouras,GRE,FW,30,1994,14,12,1055,11.7,2,1,3,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,GRE,FW,30,1994,11.7,2,30,15,50.0,2.56,1.28,0.07,0.13,0,0,GRE,FW,30,1994,11.7,1,0,0,12,10,15,27,4,10,,,0
,2425,Bochum,Koji Miyoshi,JPN,"MF,FW",27,1997,15,6,464,5.2,1,0,1,1,0,0,0,1,0.19,0.0,0.19,0.19,0.19,JPN,"MF,FW",27,1997,5.2,1,12,5,41.7,2.33,0.97,0.08,0.2,0,0,JPN,"MF,FW",27,1997,5.2,0,1,0,10,4,2,9,2,5,,,0
,2425,Bochum,Lukas Daschner,GER,"FW,MF",25,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,0.22,0.22,0.44,0.22,0.44,GER,"FW,MF",25,1998,4.6,1,9,6,66.7,1.97,1.31,0.11,0.17,0,1,GER,"FW,MF",25,1998,4.6,0,0,0,4,2,0,19,0,2,,,0
,2425,Bochum,Moritz Broschinski,GER,"FW,MF",23,2000,33,15,1390,15.4,1,3,4,1,0,0,1,0,0.06,0.19,0.26,0.06,0.26,GER,"FW,MF",23,2000,15.4,1,38,12,31.6,2.46,0.78,0.03,0.08,0,0,GER,"FW,MF",23,2000,15.4,1,0,0,28,18,5,28,1,16,,,0
,2425,Bochum,Myron Boadu,NED,FW,23,2001,19,11,1042,11.6,9,1,10,8,1,1,2,0,0.78,0.09,0.86,0.69,0.78,NED,FW,23,2001,11.6,9,28,15,53.6,2.42,1.3,0.29,0.53,1,1,NED,FW,23,2001,11.6,2,0,0,11,6,12,2,1,1,,,0
,2425,Bochum,Philipp Hofmann,GER,FW,31,1993,32,27,2277,25.3,3,3,6,3,0,0,4,0,0.12,0.12,0.24,0.12,0.24,GER,FW,31,1993,25.3,3,54,19,35.2,2.13,0.75,0.06,0.16,0,0,GER,FW,31,1993,25.3,4,0,0,36,31,4,10,5,12,,,0
