league,season,team,player,standard_nation,standard_pos,standard_age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG
ITA-Serie A,2425,Bologna,Jesper Karlsson,SWE,"MF,FW",26,1998,7,3,298,3.3,1,0,1,1,0,0,1,0,0.3,0.0,0.3,0.3,0.3,SWE,"MF,FW",26,1998,3.3,1,6,2,33.3,1.81,0.6,0.17,0.5,0,0,SWE,"MF,FW",26,1998,3.3,1,0,0,6,4,1,4,0,0,,,0
ITA-Serie A,2425,Bologna,Nicolò Cambiaghi,ITA,"MF,FW",23,2000,18,4,620,6.9,1,3,4,1,0,0,0,0,0.15,0.44,0.58,0.15,0.58,ITA,"MF,FW",23,2000,6.9,1,14,4,28.6,2.03,0.58,0.07,0.25,0,0,ITA,"MF,FW",23,2000,6.9,0,0,0,9,34,0,47,1,8,,,0
ITA-Serie A,2425,Bologna,Riccardo Orsolini,ITA,"MF,FW",27,1997,30,23,1878,20.9,15,4,19,12,3,3,2,0,0.72,0.19,0.91,0.58,0.77,ITA,"MF,FW",27,1997,20.9,15,75,28,37.3,3.59,1.34,0.16,0.43,3,3,ITA,"MF,FW",27,1997,20.9,2,0,0,27,46,12,70,9,14,,,0
ITA-Serie A,2425,Bologna,Santiago Castro,ARG,FW,19,2004,36,27,2294,25.5,8,4,12,8,0,1,7,0,0.31,0.16,0.47,0.31,0.47,ARG,FW,19,2004,25.5,8,63,21,33.3,2.47,0.82,0.13,0.38,0,1,ARG,FW,19,2004,25.5,7,0,0,49,53,9,9,3,10,,,1
ITA-Serie A,2425,Bologna,Thijs Dallinga,NED,FW,23,2000,31,11,1154,12.8,3,2,5,3,0,0,1,0,0.23,0.16,0.39,0.23,0.39,NED,FW,23,2000,12.8,3,31,11,35.5,2.42,0.86,0.1,0.27,0,0,NED,FW,23,2000,12.8,1,0,0,24,17,8,2,1,6,,,0
ITA-Serie A,2425,Cagliari,Florinel Coman,ROU,"MF,FW",26,1998,9,2,263,2.9,1,0,1,1,0,0,2,0,0.34,0.0,0.34,0.34,0.34,ROU,"MF,FW",26,1998,2.9,1,4,1,25.0,1.37,0.34,0.25,1.0,0,0,ROU,"MF,FW",26,1998,2.9,2,0,0,8,9,0,2,1,3,,,0
ITA-Serie A,2425,Cagliari,Gianluca Gaetano,ITA,"MF,FW",24,2000,28,8,1009,11.2,2,4,6,2,0,0,0,0,0.18,0.36,0.54,0.18,0.54,ITA,"MF,FW",24,2000,11.2,2,30,6,20.0,2.68,0.54,0.07,0.33,0,0,ITA,"MF,FW",24,2000,11.2,0,0,0,16,13,4,23,7,8,,,0
ITA-Serie A,2425,Cagliari,Gianluca Lapadula,PER,FW,34,1990,12,1,310,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,PER,FW,34,1990,3.4,0,15,3,20.0,4.35,0.87,0.0,0.0,0,0,PER,FW,34,1990,3.4,1,0,0,9,1,1,3,0,0,,,0
ITA-Serie A,2425,Cagliari,Kingstone Mutandwa,ZAM,FW,21,2003,6,0,127,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ZAM,FW,21,2003,1.4,0,4,0,0.0,2.83,0.0,0.0,,0,0,ZAM,FW,21,2003,1.4,0,0,0,7,1,0,1,0,0,,,0
ITA-Serie A,2425,Cagliari,Leonardo Pavoletti,ITA,FW,35,1988,26,1,445,4.9,2,0,2,2,0,0,5,0,0.4,0.0,0.4,0.4,0.4,ITA,FW,35,1988,4.9,2,18,7,38.9,3.64,1.42,0.11,0.29,0,0,ITA,FW,35,1988,4.9,5,0,0,25,7,7,0,0,0,,,0
ITA-Serie A,2425,Cagliari,Nicolas Viola,ITA,"MF,FW",34,1989,27,18,1267,14.1,3,1,4,3,0,0,2,0,0.21,0.07,0.28,0.21,0.28,ITA,"MF,FW",34,1989,14.1,3,31,9,29.0,2.2,0.64,0.1,0.33,0,0,ITA,"MF,FW",34,1989,14.1,2,0,0,20,34,8,80,3,7,,,0
ITA-Serie A,2425,Cagliari,Roberto Piccoli,ITA,FW,23,2001,37,37,3127,34.7,10,1,11,9,1,1,6,0,0.29,0.03,0.32,0.26,0.29,ITA,FW,23,2001,34.7,10,98,31,31.6,2.82,0.89,0.09,0.29,1,1,ITA,FW,23,2001,34.7,6,0,0,60,54,23,8,3,10,,,0
ITA-Serie A,2425,Cagliari,Zito Luvumbo,ANG,"FW,MF",22,2002,26,19,1606,17.8,2,2,4,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,ANG,"FW,MF",22,2002,17.8,2,23,4,17.4,1.29,0.22,0.09,0.5,0,0,ANG,"FW,MF",22,2002,17.8,2,0,0,38,51,11,65,4,7,,,0
ITA-Serie A,2425,Como,Alberto Cerri,ITA,FW,28,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,28,1996,1.0,0,4,1,25.0,4.14,1.03,0.0,0.0,0,0,ITA,FW,28,1996,1.0,0,0,0,3,1,2,0,0,0,,,0
ITA-Serie A,2425,Como,Alessandro Gabrielloni,ITA,FW,30,1994,15,0,142,1.6,1,1,2,1,0,0,1,0,0.63,0.63,1.27,0.63,1.27,ITA,FW,30,1994,1.6,1,5,2,40.0,3.17,1.27,0.2,0.5,0,0,ITA,FW,30,1994,1.6,1,0,0,6,4,1,1,0,0,,,0
ITA-Serie A,2425,Como,Anastasios Douvikas,GRE,FW,24,1999,13,6,580,6.4,2,2,4,2,0,0,1,0,0.31,0.31,0.62,0.31,0.62,GRE,FW,24,1999,6.4,2,14,5,35.7,2.17,0.78,0.14,0.4,0,0,GRE,FW,24,1999,6.4,1,0,0,13,17,1,2,1,2,,,0
ITA-Serie A,2425,Como,Andrea Belotti,ITA,FW,30,1993,18,7,593,6.6,2,0,2,2,0,0,1,0,0.3,0.0,0.3,0.3,0.3,ITA,FW,30,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,0,0,ITA,FW,30,1993,6.6,1,0,0,9,19,5,5,1,5,,,0
ITA-Serie A,2425,Como,Assane Diao,SEN,"MF,FW",18,2005,15,14,1252,13.9,8,1,9,8,0,0,2,0,0.58,0.07,0.65,0.58,0.65,SEN,"MF,FW",18,2005,13.9,8,28,13,46.4,2.01,0.93,0.29,0.62,0,0,SEN,"MF,FW",18,2005,13.9,2,0,0,20,49,6,12,2,14,,,0
ITA-Serie A,2425,Como,Dele Alli,ENG,"FW,MF",28,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,ENG,"FW,MF",28,1996,0.1,0,0,0,,0.0,0.0,,,0,0,ENG,"FW,MF",28,1996,0.1,0,1,0,1,0,0,0,0,0,,,0
